Major,Grade,How long willing to wait for response (seconds),Most wanted feature,Platform,Sponsor features
MATH / STAT,Junior,In five seconds,"Integration with other apps (word, onenote etc.)",MAC,Don't want any
CS (blended),Junior,In one second,Cross Platform,Android,Don't want any
CS (blended),Freshmen,In five seconds,Cross Platform,IOS,Sponsor preview features
MATH / STAT,Junior,In five seconds,Gesture Support,MAC,Don't care
CS (blended),Junior,In five seconds,Gesture Support,MAC,Sponsor preview features
CS (blended),Junior,In one second,Cross Platform,IOS,Don't want any
CS (blended),Junior,In one second,Cloud records,IOS,Don't want any
MATH / STAT,Junior,In five seconds,Cloud records,Windows,Sponsor preview features
CS (blended),Senior,In five seconds,Cross Platform,Windows,Don't want any
CS (blended),Senior,In five seconds,Gesture Support,MAC,Sponsor preview features
CS (blended),Junior,In one second,"Integration with other apps (word, onenote etc.)",MAC,Don't want any
Other,Junior,In ten seconds,Gesture Support,MAC,Don't want any
MATH / STAT,Junior,In five seconds,Cross Platform,Windows,Don't care
CS (blended),Junior,In five seconds,Cross Platform,IOS,Don't want any
EE,Junior,In five seconds,Gesture Support,MAC,Don't want any
MATH / STAT,Sophomore,I don't care,Gesture Support,Windows,ADs
Other,Junior,In one second,"Integration with other apps (word, onenote etc.)",IOS,Don't want any
CS (blended),Sophomore,In ten seconds,Cloud records,IOS,Sponsor preview features
CS (blended),Freshmen,In five seconds,Gesture Support,Android,Sponsor preview features
MATH / STAT,Junior,In five seconds,Cross Platform,Windows,Don't want any
Other,Sophomore,In five seconds,Cross Platform,MAC,Don't want any
MATH / STAT,Sophomore,In one second,"Integration with other apps (word, onenote etc.)",MAC,Don't want any
CS (blended),Sophomore,In one second,Gesture Support,Windows,Don't want any
CS (blended),Senior,In one second,"Integration with other apps (word, onenote etc.)",Windows,Sponsor preview features
CS (blended),Junior,I don't care,"Integration with other apps (word, onenote etc.)",IOS,Don't want any
MATH / STAT,Junior,In ten seconds,Gesture Support,Android,Don't want any
